1,Igor,2,Olya@gmail.com,4,3,100
2,Nastya,1,Nastya@gmail.com,1,1,365
3,Petro,3,Vasya@ukr.com,2,4,100
4,Tonya,3,Igor@gmail.com,4,1,200
5,Igor,2,Nastya@gmail.com,2,2,100
6,Vasya,3,Tonya@gmail.com,3,3,365
7,Olya,1,Olya@gmail.com,1,1,100
8,Nastya,2,Olya@gmail.com,1,3,200
9,Nastya,2,Nastya@gmail.com,3,3,365
10,Nastya,2,Nastya@gmail.com,4,3,365
11,Petro,1,Vasya@ukr.com,1,4,423
12,Igor,2,Olya@gmail.com,4,1,423
13,Igor,2,Nastya@gmail.com,1,4,365
14,Petro,3,Nastya@gmail.com,4,2,365
15,Igor,3,Olya@gmail.com,2,1,365
16,Olya,2,Olya@gmail.com,2,1,423
17,Petro,3,Vasya@ukr.com,1,3,100
18,Nastya,2,Igor@gmail.com,4,2,200
19,Olya,2,Olya@gmail.com,3,1,365
20,Tonya,3,Igor@gmail.com,1,1,200
21,Tonya,1,Nastya@gmail.com,3,3,365
22,Petro,1,Tonya@gmail.com,3,4,423
23,Olya,3,Nastya@gmail.com,4,4,100
24,Vasya,2,Olya@gmail.com,4,1,365
25,Petro,1,Igor@gmail.com,2,3,100
26,Petro,3,Nastya@gmail.com,1,3,365
27,Vasya,2,Tonya@gmail.com,3,2,200
28,Nastya,2,Tonya@gmail.com,4,4,100
29,Nastya,1,Olya@gmail.com,4,2,200
30,Vasya,3,Olya@gmail.com,1,1,423
31,Vasya,2,Vasya@ukr.com,2,3,100
32,Vasya,2,Vasya@ukr.com,3,1,100
33,Igor,1,Vasya@ukr.com,4,4,365
34,Igor,1,Igor@gmail.com,4,4,423
35,Vasya,2,Igor@gmail.com,1,3,200
36,Olya,3,Nastya@gmail.com,2,1,200
37,Vasya,2,Tonya@gmail.com,3,1,365
38,Vasya,2,Igor@gmail.com,3,2,365
39,Nastya,3,Tonya@gmail.com,4,2,365
40,Olya,3,Tonya@gmail.com,4,2,423
41,Nastya,1,Vasya@ukr.com,4,3,200
42,Olya,3,Nastya@gmail.com,4,3,100
43,Igor,1,Nastya@gmail.com,4,3,423
44,Tonya,2,Igor@gmail.com,3,1,200
45,Tonya,3,Olya@gmail.com,2,4,100
46,Tonya,2,Nastya@gmail.com,2,2,365
47,Igor,1,Vasya@ukr.com,3,2,200
48,Igor,2,Tonya@gmail.com,4,3,365
49,Petro,1,Nastya@gmail.com,3,1,423
50,Olya,1,Tonya@gmail.com,1,4,100
51,Vasya,1,Vasya@ukr.com,3,1,200
52,Olya,3,Igor@gmail.com,3,3,423
53,Tonya,1,Vasya@ukr.com,1,4,100
54,Olya,3,Olya@gmail.com,1,3,200
55,Vasya,3,Nastya@gmail.com,2,2,365
56,Igor,3,Olya@gmail.com,4,4,100
57,Olya,2,Nastya@gmail.com,1,1,423
58,Igor,1,Vasya@ukr.com,4,1,423
59,Petro,2,Olya@gmail.com,1,2,100
60,Vasya,3,Olya@gmail.com,3,2,423
61,Vasya,3,Olya@gmail.com,4,2,423
62,Tonya,3,Igor@gmail.com,4,3,365
63,Olya,2,Nastya@gmail.com,2,3,200
64,Nastya,2,Olya@gmail.com,1,3,200
65,Vasya,2,Vasya@ukr.com,1,2,100
66,Igor,2,Igor@gmail.com,4,1,365
67,Tonya,2,Olya@gmail.com,3,4,423
68,Nastya,3,Vasya@ukr.com,4,4,100
69,Tonya,2,Olya@gmail.com,4,3,100
70,Tonya,3,Tonya@gmail.com,4,3,200
71,Tonya,3,Olya@gmail.com,3,1,100
72,Petro,1,Tonya@gmail.com,1,3,100
73,Nastya,1,Vasya@ukr.com,4,2,100
74,Nastya,3,Igor@gmail.com,1,2,200
75,Tonya,3,Nastya@gmail.com,1,4,423
76,Petro,3,Tonya@gmail.com,3,1,365
77,Vasya,1,Olya@gmail.com,1,4,365
78,Tonya,1,Nastya@gmail.com,1,1,365
79,Petro,2,Igor@gmail.com,2,1,365
80,Petro,3,Olya@gmail.com,3,4,365
81,Petro,3,Igor@gmail.com,4,3,100
82,Vasya,1,Vasya@ukr.com,1,3,365
83,Vasya,1,Olya@gmail.com,4,4,200
84,Olya,2,Olya@gmail.com,3,2,100
85,Nastya,1,Tonya@gmail.com,3,2,200
86,Petro,3,Nastya@gmail.com,3,2,100
87,Vasya,3,Tonya@gmail.com,4,4,200
88,Olya,1,Olya@gmail.com,4,2,200
89,Petro,1,Igor@gmail.com,2,1,423
90,Tonya,3,Vasya@ukr.com,2,4,365
91,Petro,3,Nastya@gmail.com,3,1,365
92,Igor,2,Igor@gmail.com,2,3,100
93,Petro,1,Igor@gmail.com,3,4,365
94,Petro,3,Igor@gmail.com,1,1,200
95,Vasya,3,Nastya@gmail.com,1,1,365
96,Petro,1,Nastya@gmail.com,4,4,100
97,Nastya,3,Vasya@ukr.com,2,4,423
98,Petro,3,Vasya@ukr.com,1,1,200
99,Nastya,2,Tonya@gmail.com,3,2,365
100,Igor,1,Igor@gmail.com,2,3,100
101,Tonya,3,Vasya@ukr.com,3,1,200
102,Vasya,2,Vasya@ukr.com,2,4,100
103,Nastya,3,Olya@gmail.com,3,3,200
